2021-07-13 20:00:00 | /errorHandler.js(32) | K4nXdS2BCl0xfMwZN0hgNiH5Xdwfyzdv | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:01:22 | /errorHandler.js(32) | 8bLLJkPKsfW2u0PHE0VXnwrTz7heyDXp | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:01:40 | /errorHandler.js(32) | 6NiRSQpg6anIqqYwJ9JBhaF790wFN6Sv | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:01:42 | /errorHandler.js(32) | JCNQkXAE3pNmBG3dywjBgZBNhUIzeJED | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:00 | /errorHandler.js(32) | oS274QBHTV2HycPA43ahKjII3EXC07P8 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:01 | /errorHandler.js(32) | 8Eu97uSp1s8q0dDXXfO8ljdL00TlicKi | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:02:02 | /errorHandler.js(32) | 6dJtrDOnS61QgczTc0WSDMO8WDeMbYrK | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:16 | /errorHandler.js(32) | 6ruQisbGVusL3EU1NkFyAjgCuRR1kEGF | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getPatientById?id=60c2870c492f57001f66adbe | GET | Request : {}
2021-07-13 20:02:20 | /errorHandler.js(32) | r55fNGAFrJ51Z6fSJNwVNxeARq9yhkwS | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:22 | /errorHandler.js(32) | 6YOomDCJ0xwFVSGS31yHMjq7OQz6hKTO | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:40 | /errorHandler.js(32) | Le80UyxvQ4Jh71dEBKuqC9aUquCrvQub | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:42 | /errorHandler.js(32) | ReOC7FrsAbRnXwmnmYJq2XFF0hwyZMPJ | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:02:52 | /errorHandler.js(32) | ilhAfnqselg2UeaJDVsGmzovfoNErAYv | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60e763fe41cd6400201cc747","tokenId":"60ee29ac41cd6400201cc997","email":"ibrahim@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67","60a6994c58b1f5001fcaf9d9"],"firstName":"ibrahim","lastName":"rashid","sessionStart":"2021-07-14T00:02:52.268Z","iat":1626220972,"exp":1626235372} | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings | POST | Request : {"page":1,"size":10,"clinicId":["609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67","60a6994c58b1f5001fcaf9d9"]}
2021-07-13 20:02:56 | /errorHandler.js(32) | uxskAl6eAx9R7zXmRtpoPviJHQm3JTfA | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60e763fe41cd6400201cc747","tokenId":"60ee29ac41cd6400201cc997","email":"ibrahim@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67","60a6994c58b1f5001fcaf9d9"],"firstName":"ibrahim","lastName":"rashid","sessionStart":"2021-07-14T00:02:52.268Z","iat":1626220972,"exp":1626235372} | URL : http://apis.mdnius.com/api/v1/public/getCancelledBookings | POST | Request : {"page":1,"size":10,"results":[],"screeningResult":[],"search":"4135","clinicId":[],"callback":[],"gender":[],"checkout":[],"assessbydoctor":[],"age":"","ageFilter":"","timeSlotStart":null,"timeSlotEnd":null,"slotDate":"","reasonCode":[],"sortBy":"","sortType":"","cancelFrom":[],"bookingStartDate":null,"bookingEndDate":null}
2021-07-13 20:02:58 | /errorHandler.js(32) | VKMo49auEwPCJmaxG5V7f6epROr1vMNP | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User : {"_id":"60e763fe41cd6400201cc747","tokenId":"60ee29ac41cd6400201cc997","email":"ibrahim@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67","60a6994c58b1f5001fcaf9d9"],"firstName":"ibrahim","lastName":"rashid","sessionStart":"2021-07-14T00:02:52.268Z","iat":1626220972,"exp":1626235372} | URL : http://apis.mdnius.com/api/v1/public/getConfirmedBookings | POST | Request : {"page":1,"size":10,"results":[],"screeningResult":[],"search":"4135671","clinicId":[],"callback":[],"gender":[],"checkout":[],"assessbydoctor":[],"age":"","ageFilter":"","timeSlotStart":null,"timeSlotEnd":null,"slotDate":"","reasonCode":[],"sortBy":"","sortType":"","cancelFrom":[],"bookingStartDate":null,"bookingEndDate":null}
2021-07-13 20:02:59 | /errorHandler.js(32) | VKMo49auEwPCJmaxG5V7f6epROr1vMNP | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User : {"_id":"60e763fe41cd6400201cc747","tokenId":"60ee29ac41cd6400201cc997","email":"ibrahim@embassy.com","role":"FRONT_DESK","clinicId":["609be7f8f132c1001fb007c4","60be41543dc5a9001f5c1f67","60a6994c58b1f5001fcaf9d9"],"firstName":"ibrahim","lastName":"rashid","sessionStart":"2021-07-14T00:02:52.268Z","iat":1626220972,"exp":1626235372} | URL : http://apis.mdnius.com/api/v1/public/getPatientsList | POST | Request : {"page":1,"size":10,"results":[],"screeningResult":[],"search":"4135","clinicId":[],"callback":[],"gender":[],"checkout":[],"assessbydoctor":[],"age":"","ageFilter":"","timeSlotStart":null,"timeSlotEnd":null,"slotDate":"","reasonCode":[],"sortBy":"","sortType":"","cancelFrom":[],"bookingStartDate":null,"bookingEndDate":null}
2021-07-13 20:03:00 | /errorHandler.js(32) | WCDiC18twTGLtM7sC01SoR4KemN5x7uF | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:03:02 | /errorHandler.js(32) | KwcYYdUVmEMlhP0PVczlI2PcwemNH8aN | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:03:20 | /errorHandler.js(32) | nYdRTWmB99H4V8000jnshlk9QdsGBtfN | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:03:20 | /errorHandler.js(32) | nYdRTWmB99H4V8000jnshlk9QdsGBtfN | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:03:21 | /errorHandler.js(32) | ZbPzSAO53PbKdIKl6qDrZnHMWVmgoIFG | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-18","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:03:22 | /errorHandler.js(32) | HVEBppliAlamc6xxxcOJn9pHSrJ7E1SR | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:03:40 | /errorHandler.js(32) | 9TwOcSyqayMqs1Mxs7EZIji3cGnb2jqf | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:03:42 | /errorHandler.js(32) | K4xlX1eUAupNEPgP28oTY6cVXVgMoRoX | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:00 | /errorHandler.js(32) | 3HeuhHeFvurAPBk2KVGaDzJpH751T1P7 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:02 | /errorHandler.js(32) | lVEjIwYP3mGWAiiFL1wENMfaehjV2dS9 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:20 | /errorHandler.js(32) | UbUB3NVlaG70r5wqQgyVfGH47iO7s6Sa | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:22 | /errorHandler.js(32) | j7yM0aOtb3thYrsmexiVztvps4ohIvrP | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:40 | /errorHandler.js(32) | n6r4hZi7Ohc0xHcPH6gVKI7MX2TwsFtJ | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:42 | /errorHandler.js(32) | V2EEWucZJVHL23B9VUwftq7J4YaYxSe6 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:04:48 | /errorHandler.js(32) | 1xcPA2ufuDLHznAf9pA5HLNrguclUsPA | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:05:00 | /errorHandler.js(32) | 2tDF2qHyVQesGMNpTxQkylk6ytRRrgaV | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:02 | /errorHandler.js(32) | sah4FGZ88v7QJxdqGrD2euB4jQGoLt4Y | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:08 | /errorHandler.js(32) | 5EaOfPqThLpx6TdK3LcF1UvJpygBbaCB | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-15","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:05:18 | /errorHandler.js(32) | PXGZuumWd4fnyZheEir9zyAHLxEPoask | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"601cfbcc0762a2413728ddc6"}
2021-07-13 20:05:20 | /errorHandler.js(32) | XB572XTVoHwLpYDaAhCA4paU0I6Mw2fn | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:21 | /errorHandler.js(32) | REFGDbKakxJan3z7AG241jlUQkxEla3k | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-16","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:05:22 | /errorHandler.js(32) | V3MejTcvV1rq9vFSlOzRgXrNRXpAIi4Z | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:40 | /errorHandler.js(32) | zb0oYND69Ybiz9Ols98mZkP2PfRIJw4D | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:42 | /errorHandler.js(32) | wF1ueZPqc5HUzFXltitpEkymenpDsmOg | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:05:57 | /errorHandler.js(32) | I8B5juybqVBKN3JibIkZaB18YBrdIEMU | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getPatientById?id=60ee13dc438012001f23c51f | GET | Request : {}
2021-07-13 20:06:00 | /errorHandler.js(32) | NX8ffdg9niPRSW9myXsElmDHFkgKhRqi | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:06:02 | /errorHandler.js(32) | XfYZ32ViMnhI6CwWc4M9cJJxwBp8ZXGr | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:06:20 | /errorHandler.js(32) | dyJG6pvo0664tzJhHXVEiIfLfrACpLUZ | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:06:22 | /errorHandler.js(32) | LHMuVGj1UUgMXEw3VTr3U05vvdwid3Pv | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:06:40 | /errorHandler.js(32) | rSlRIa0jZhLmxJZgC9CitNXTU4eEApTK | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:06:42 | /errorHandler.js(32) | WIlQkoUiDPtWSMP422u8cQkNkl5tLKsQ | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:00 | /errorHandler.js(32) | JmOxpXtSfYFR4dE4qgV5LCmGI9x2UH7v | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:02 | /errorHandler.js(32) | 4Y2KZ1Gw6kUJtzKPjJ0UoHE4SH4zFhnr | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:20 | /errorHandler.js(32) | 7PrxL1fgROf9jVomq90Qhwbvxn3GJNAE | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:22 | /errorHandler.js(32) | WzsnoeWpa0Z4IKTkrb6TQXRuQqoJ23jJ | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:40 | /errorHandler.js(32) | yVMLEDmpVRJzUYREb4FdloVOLivdiK7r | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:40 | /errorHandler.js(32) | yVMLEDmpVRJzUYREb4FdloVOLivdiK7r | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:07:42 | /errorHandler.js(32) | vbK3HD4pqLFlcNfwRzCYRbOlgwCpn1Fs | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:07:47 | /errorHandler.js(32) | LH8Qr9Qf1lhKZZzL3DOEn8QhVLbt4AI7 | [info] | IP - 10.0.4.121 | clientIP - 10.0.4.121 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"601cfbcc0762a2413728ddc6"}
2021-07-13 20:08:00 | /errorHandler.js(32) | yjt3gh2s1BlUe1YvujBMyATAX86396yu | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:08:02 | /errorHandler.js(32) | BVkJQNyGneRoD80aneFHEt5t9WjVqxMD | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:08:19 | /errorHandler.js(32) | dMHkUxOUtn069tCHzOEGsmUaJWi5x9F6 | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/getSlots | POST | Request : {"date":"2021-07-17","clinicId":"609be7f8f132c1001fb007c4"}
2021-07-13 20:08:20 | /errorHandler.js(32) | XepnnVWhhEBFZXGqC0vymQLAoILNXqzs | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:08:22 | /errorHandler.js(32) | m1t2AgoS4wtH5z9ar0YUOKYlKMLM89Rq | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:08:40 | /errorHandler.js(32) | 1Nl4N6CNkRcUF2KLgo4yB3q20lSiJE21 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:08:42 | /errorHandler.js(32) | zG9f7lBof4aodTk1wgcV279A7nqDZWOa | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:00 | /errorHandler.js(32) | bkaoycHrBgJe5rbpteLuEXLezjgrfKrH | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:02 | /errorHandler.js(32) | NBc5dPxlfNFTHU9Mlz8frCuyGHWbtFvi | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:20 | /errorHandler.js(32) | MBw9zoNyGkgdxB9wgE1vCmZg7pYotHl6 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:22 | /errorHandler.js(32) | rMCWVnRKeCquRvYvFERApWcETCwkGlFY | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:22 | /errorHandler.js(32) | rMCWVnRKeCquRvYvFERApWcETCwkGlFY | [info] | IP - 10.0.4.135 | clientIP - 10.0.4.135 | User :  | URL : http://apis.mdnius.com/api/v1/public/addPatient | POST | Request : {"date":"2021-07-18","firstName":"Dwayne","lastName":"Robinson","ohip":"8831658326yp","mobileNumber":"6478098135","clinicId":"601cfbcc0762a2413728ddc6","slot":{"timeSlotStart":"12:30 PM","timeSlotEnd":"1:00 PM"},"screeningResult":"low","dob":"1978-05-10","gender":"Male","email":"dwrobinson13@gmail.com","assessbydoctor":"Pending","callback":"Pending","checkout":"Pending","results":"Pending","address":"138 Inspire Blvd unit 1","postalcode":"L6R3X7","reasonCode":"Testing","referenceOutbreakNumber":".ACSCOMM0046","notes":"","token":"","age":43,"location":"Embassy Grand","status":1,"createdAt":"2021-07-13 20:09:22","updatedAt":"2021-07-13 20:09:22","bookedDateTime":1626611400000,"bookingDate":"2021-07-13","activityLogs":[{"id":"60ee2b329dc77e001f5df9d5","createdAt":1626221362623,"date":"2021/07/13, 20:09 PM","name":"Dwayne Robinson","log":"Created the appointment"}],"receivedAllDoses":"Yes","_id":"60ee2b329dc77e001f5df9d6","clinicEmailId":"imandarihealthgroup@gmail.com","clinicPhoneNumber":"9053667374","clinicAddress":"8800 The Gore Road","clinicCity":"Brampton","bookingId":"60ee2b329dc77e001f5df9d6","appoinmentModifyLink":"https://booking.mdnius.com/embassygrand/schedule/60ee2b329dc77e001f5df9d6","emailMessage":"Please make sure to arrive 5 minutes prior to your scheduled appointment. Bring your OHIP card (Ontario Health Insurance Plan), if you have one. Keep our community safe by wearing a face mask and practice social distancing.\n\nFeeling unwell or have any concerns about your HEALTH?\nBook a FREE virtual appointment with a FAMILY DOCTOR, available in a language of your choice.\nCall 416-463-6487.\n\nOr\n\nDownload the free MDnius app . Please see the link below:\nAndroid: https://goo.gl/0SARXp\niPhone: https://goo.gl/jr0hNh","messageType":"CONFIRMATION_MESSAGE","iphone":"","android":"","emailHeader":""}
2021-07-13 20:09:40 | /errorHandler.js(32) | qhVX4RYAjdZnXFkHcLeA0HKza0IHvr43 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:09:42 | /errorHandler.js(32) | 5w6xuGPgZxh0CvujIazcekUBnFpTgGZz | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:10:00 | /errorHandler.js(32) | imzeLPbIzbFHYlErvXnqao5Oon8Ie3BA | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:10:02 | /errorHandler.js(32) | CyOV0td6vbxmTBQhtGBgVttxb93f22a6 | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:10:20 | /errorHandler.js(32) | xTNnVSeFgsC3Zh3WVUu3NQDRKuR35BrU | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:10:22 | /errorHandler.js(32) | UfAEUrncVxlBfs2gQWCM0LhyMlrYZs3v | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
2021-07-13 20:10:36 | /errorHandler.js(32) | EMby7KP0q9eOoLzBWmRb98lsw7Tbl7dL | [info] | IP - 10.0.3.157 | clientIP - 10.0.3.157 | User :  | URL : http://apis.mdnius.com/api/v1/public/getMonthAvailability | POST | Request : {"month":6,"year":2021,"clinicId":"601cfbcc0762a2413728ddc6"}
2021-07-13 20:10:40 | /errorHandler.js(32) | eJSONyewQd2gdvjJlYGskg1SUgvZLM6U | [info] | IP - ::ffff:10.0.4.135 | clientIP - ::ffff:10.0.4.135 | User :  | URL : http://10.0.4.247:2001/health | GET | Request : {}
